track_id,track_name,artist_name,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,track_duration_min
3EJS5LyekDim1Tf5rBFmZl,Trippy Mane (ft. Project Pat),Diplo,0,1,77.0,2812821.0,9,1.55
1oQW6G2ZiwMuHqlPpP27DB,OMG!,Yelawolf,0,1,64.0,2363438.0,1,3.07
7mdkjzoIYlf1rx9EtBpGmU,Hard 2 Find,Riff Raff,4,1,48.0,193302.0,1,2.55
67rW0Zl7oB3qEpD5YWWE5w,Still Get Like That (ft. Project Pat & Starrah),Diplo,30,1,77.0,2813710.0,9,1.69
15xptTfRBrjsppW0INUZjf,ride me like a harley,Rumelis,0,1,48.0,8682.0,2,2.39
4ccpCcZYseq8VrPMK1EDs0,BLEED,Minzie,2,0,46.0,7218.0,3,2.76
3QoQ3HqXTAjgEl9LbNMbYp,Te Procuro na Cidade,AZERDK,20,0,30.0,1657.0,1,4.12
1YEZbdT417SfolPQzaoHs2,come closer,Rumelis,27,0,49.0,8802.0,2,2.53
4pZ949nFW5SurwzE0TSe7I,Cupido Vagabundo,Toni dos Anjos,16,0,6.0,475.0,2,2.92
0L0LgwFZ7UtBnRNQvSBty6,LET’S GO!,PsychoYP,33,1,48.0,154802.0,1,2.4
5mfAZwEr4jAVDnSY0HHuyH,Stray,What Matters The Most,30,0,25.0,814.0,4,2.49
4V1Sh9Y2z6e8HpzNOet5rC,PAPARAZZI ARRIVE - English Ver.,A2O,48,0,46.0,13826.0,14,2.89
0NZKfcua68wuZePhjp8N2I,Root of all Evil,Daniel Caesar,65,0,85.0,11137714.0,12,4.41
6zFWxD9hkOPAIlgWAGyQGQ,Let’s Go!!,Ovi Jozi,0,1,17.0,3567.0,6,2.05
66F6YyfnWy6cNc6bd3zl2C,MELODY - CHENYU & SHIJIE & QUCHANG,A2O,27,0,46.0,13590.0,14,4.25
22c6Yop5YVEAhw8UG6O1W1,My Muse,Leon Thomas,67,1,74.0,735818.0,7,2.75
0SoYN9bRGPj7qV6loQKCTO,A Real Good Bad One,Joe Hermes,31,0,23.0,1518.0,1,2.73
19A7srqQSXoW14muGyiHjg,BOSS - English Ver.,A2O,33,0,46.0,13826.0,14,2.92
0XQQpq855N5rnUsFBXo2ml,Bridges,Scarlett Butler,11,0,3.0,364.0,1,2.91
0nBPI5KxKOeOtr24sdGpE6,Can't Go Back,LEROCQUE,30,0,23.0,13770.0,1,2.43
2aMZEJZwWouRzOw2aSfKV9,Deeply Still,Xander Ward,35,0,35.0,729.0,1,2.91
2zzjpwG8wu3skr08m7rM6e,Eggshell Tap Dancer,The All-American Rejects,52,0,67.0,3134186.0,4,3.78
2MbsC60IxeyJNVRRgeqH4w,Eyes on You,Smith & Liddle,22,0,17.0,543.0,3,4.26
2Zq3Trov36G0TtrUt4ZklL,superstar,Artemas,59,1,74.0,1378935.0,14,2.82
7rdHxPQimXkOcmUmsfGhxY,Trim,YUNG ALPO,1,1,24.0,166.0,1,2.62
2H6cMXx0Kmj6XlbMx4BYi9,Trip,A2O,32,0,46.0,13826.0,14,3.26
6DIrsJFPypT0Z3emDKnXYd,HEARTBREAK SZN,PRAX,32,1,23.0,1982.0,1,2.89
05aYqGC8NNxr4jiHbQXLG3,Higher Vibration,Mark II,35,0,25.0,722.0,2,2.4
0C42YiaJQyb0OExJ89bRbs,Hold On (We Are Going Home),Suark,34,0,32.0,1496.0,1,3.58
1yLkASt2rIp9W5t3NuZrwQ,Kay,Vince Bello,2,0,6.0,84.0,1,3.85
2zLnwikuCxJwMkEI8tqDN4,you never really cared,Anna Marx,31,0,34.0,1693.0,1,2.37
0kWQFzHzEPtvrKnwngvWyb,Master of the Kill,Ana Shine,42,0,45.0,27570.0,1,3.25
5NWYu2pYfLGu3iQB08RC4m,Fool For You,Stray Currents,25,0,20.0,1073.0,1,3.07
4cVw1IeHrFuVS58Glolglb,blonde eyes,Sopperior,25,0,30.0,2891.0,5,2.41
31lp34zEvY603Xjkz2hrOo,limerence,Sopperior,13,0,30.0,2896.0,5,1.48
1nNgDKWWX9MU9cp5FrHXRN,Love Crazy - Stash Konig Remix,MisterNez,31,0,18.0,200.0,1,3.26
4ljqKsDyZzicNpBIMvDaZ5,One More Time,Fraser Stott,6,0,13.0,119.0,9,3.94
5hw7dvgBRLvlCiALWwujYz,Nectar - B-Rain Remix,Senhit,29,0,27.0,54636.0,3,2.95
6OTDBDVaK18xlne9rlGQok,No Glory,Besomorph,52,0,58.0,146944.0,1,2.37
1NXbNEAcPvY5G1xvfN57aA,Dracula,Tame Impala,80,1,84.0,9509731.0,12,3.42
6gRNWnK8b8BVfzrF65HGcf,PSYCHWARD (with WesGhost ft. Project Pat),Diplo,51,1,77.0,2812337.0,4,2.88
1e73KA7YWgIS9cLszZJRTu,Where Have You Been,Ken,38,0,50.0,7219.0,1,2.08
44NbFZ0gEZ4U0LMMsHWyb3,Great Tomorrow,Kxng Leó,3,0,1.0,177.0,1,2.21
05RK4klU7S2Jm50ONIjyM4,Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza],Kayote,50,0,49.0,19306.0,1,2.65
0Oriikd4ETp5qmzek6ZUD5,Talk To You (ft. Elton John),Sam Fender,72,1,73.0,1204977.0,1,5.28
5jw5yNpSTxdBAr1AV3N96s,The Way I Am Now,Lila Holler,25,0,17.0,1068.0,1,3.77
0lRnxwJeUOxwEvWMw4uQKj,Think About Us,Sonny Fodera,68,0,66.0,306842.0,1,2.96
6q43CVVE0VXEWlDjPdgH0c,Trophy Wife,Annalise Azadian,32,1,31.0,5701.0,1,2.86
0vXBmU9Zus9ZtbR4kvZAjH,baby can you sin for me,Ex Habit,52,0,59.0,130408.0,1,2.69
5UDCl2GNB6gT4ataiXTIGH,Wild Side,Poul,48,0,53.0,1161.0,1,2.5
0dtNBn7Uww8lHFTs6mittj,Amal,Abeer Nehme,38,0,50.0,247771.0,1,3.88
2OZVskV28xxJjjhQqKTLSg,PIXELATED KISSES,Joji,88,1,81.0,10638942.0,1,1.84
27sGm7McOlhSQ1szOJlpt8,MEGAFAUNA,Stanza,24,1,10.0,218.0,1,2.87
6wi4GsP24EbQK8xrFl9tqI,2nd To Me,Christian Kennedy,31,1,14.0,297.0,1,3.26
7Lo6USa0PiDkwSL3SkohSi,Leavin,Rod Wave,70,1,76.0,9673984.0,1,2.81
3Dy4xsff7c0fRaTJpA54yd,Gone Gone Gone,David Guetta,79,0,87.0,27141717.0,2,3.3
6t62npoUwUGjrwIawdgwA5,Goodbye For Now,Olivia Cox,33,0,18.0,1263.0,1,3.5
2uHi2Fc38bs1keR72wTpwd,Here and Now (Where I Wanna Be),Briezman,35,0,23.0,445.0,1,3.03
3oKtvkoervQjzXyh1OMHHq,Hold My Hand,TAMMO,35,0,19.0,290.0,1,4.4
4nds6JYKbzMdpXwuINhSEZ,Part of Me,A Boogie Wit da Hoodie,75,1,77.0,8986062.0,1,2.78
2n3qIOygTL44mYyPIqlH5q,Run For The Hills,Jason Charles Miller,37,0,43.0,17999.0,1,3.12
0n2QFaU59wkNJW0ruoaGeY,So Far,Visibly True,28,0,20.0,114.0,1,3.07
6hjbNbbRdTCIW9qcZ8OA7t,Something Like This,The Haygoods,33,0,20.0,7785.0,1,2.22
1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,PinkPantheress,74,0,78.0,4761364.0,31,3.07
2qtQauWqPaGHrmrXbDa35k,Constellations,Ian Asher,68,0,70.0,223449.0,1,2.73
0l72HGRQkAR0imHxvpLi8a,Die On This Hill,SIENNA SPIRO,76,0,66.0,182377.0,3,3.61
4idqAxBL2zVyfyMhi8QSZK,Distance Of Living,Aresty.,35,0,17.0,4.0,9,2.72
4WFfPxJv1KRekG6mxn837K,EYES CLOSED (with ZAYN),JISOO,88,0,73.0,7282227.0,1,3.02
6I65Y2uL3LrvFuBS5LNVZa,Getting Down,gigi,30,0,13.0,5.0,1,3.13
0fOblXmOu0vHm0fa2RezCC,Alarm,Millo,18,0,5.0,429.0,1,3.02
1heaOeArQtwtQKRK0gJe42,All Night Long,KOLBEIN,39,0,28.0,631.0,1,2.75
3Du1WPZLhETDT6Jr4eumkU,ANYMORE,ASH7ON,18,1,7.0,308.0,1,2.91
3m2dgCQagVWkSha04cZn23,Bad Boy,KROMA,60,0,54.0,11283.0,1,2.45
2omFbch4mNZo3ksaQeX78X,Break Out,zukrassverliebt,39,0,24.0,435.0,1,3.2
5LlDzb8dY5h4npkWKVmjT5,Tropical Vacation,Riff Raff,40,0,48.0,193279.0,1,2.92
4J1B7f8dgMWAcAHEm6Mvi8,Chasing the Day,TIMBER,51,0,32.0,37.0,1,2.63
0jPkYjkGxwWMsRaTQbhV0x,Used To Love,Maithili Raelle,35,0,19.0,2633.0,1,2.21
7sgx2p6KPYPia5fowJNZzO,TBB,Sabir,31,1,18.0,435.0,1,2.41
31TXxq8gfgYyrYClnYY48m,The Fate of Ophelia,Taylor Swift,87,0,100.0,145443567.0,12,3.76
5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,93,1,100.0,145489371.0,12,4.02
7wT275baetTMjwGNanHAno,The Serpent,Besomorph,53,0,58.0,146969.0,1,3.25
6r4DKBIre2t3kU3FYMhhbN,The Way I Know,Padre Tóxico,29,0,26.0,13179.0,1,2.15
52LucZg8sDnqlkwXL6E7uX,Turn Back Time,Orvyn Sol,25,0,15.0,48.0,1,3.19
2fTj7u4KEt7JfWQw4Qgj2J,Wait For You,MEDZ,42,0,37.0,6199.0,1,3.45
3gKR0BUqtDToXhqhTH7Opg,Rare,Edd Stark,39,1,28.0,405.0,1,2.9
2sMrvqJHSHGZ6uKcWoSNvW,Rock Your Body,IV Tune,28,0,11.0,54.0,7,2.81
62V2ZHslgQV98gH4AuVXnr,Ruin The Friendship,Taylor Swift,92,0,100.0,145396321.0,12,3.67
4DCyPp2B9vSmkPUkctFumT,Monsters,IAN SIZE,38,1,32.0,1844.0,1,2.17
3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,97,0,100.0,145443567.0,12,3.92
1k2aDzjpZVZPA2N3mMLbWq,High Or Die,Beatline,39,0,20.0,475.0,2,2.51
4qmFC3Jz5aQ0erlk2OSi2X,Honey,Taylor Swift,91,1,100.0,145489371.0,12,3.02
0P3GQuGbDqVP9ZMs19RcUa,i don't need ur love,Rumelis,55,1,49.0,8741.0,2,2.23
29JrUHRJumKzVu5xeELYFV,It's Giving,Third Vibes,40,0,24.0,3776.0,1,2.49
2x3mwb96B6TquRqMtbxUE1,Actually Romantic,Taylor Swift,93,1,100.0,145396321.0,12,2.72
1jVMR9A0OYA8nFynsTnQsx,Broken Glass,Phay,32,1,20.0,5344.0,1,2.27
1appZ3c336FkPvCuywfmrs,CANCELLED!,Taylor Swift,93,1,100.0,145396321.0,12,3.52
2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,Taylor Swift,93,1,100.0,145396321.0,12,3.45
5ylJtmaWPJ33cW3En7WOu0,Wood,Taylor Swift,93,1,100.0,145443567.0,12,2.5
017erFbOyCrdz0yburnVGZ,you're a star,Fred again..,74,0,77.0,2201446.0,1,3.65
5E2y5TSb2RJNCO01QjkgLf,Days Like These,Luke Combs,75,0,83.0,13402920.0,3,3.69
62HoDY1Km6lm47haFpUn9c,Eldest Daughter,Taylor Swift,92,1,100.0,145396321.0,12,4.1
1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,Taylor Swift,95,0,100.0,145489371.0,12,3.47
4O31bgaZWxZkF3uHrdyavg,Energy,Tolou,40,0,28.0,4401.0,1,3.04
03bTIHJElXZ0O0jqOQvAbY,Father Figure,Taylor Swift,94,1,100.0,145542136.0,12,3.54
4NgPNxsqi2HQ7AnCvvRK8G,Super Woman,Haifa Wehbe,35,0,51.0,1151605.0,6,3.72
1dosSsKwYF7hoQA2kuu6wI,The Fate of Ophelia,Taylor Swift,75,0,100.0,145443567.0,26,3.76
1auysW6jt1rZwBGyEDRKWc,Ties in Texas,Lindsey Fish,42,0,23.0,3629.0,1,3.11
0N979cmYBbE2TyhrW6KZu0,Till We Meet Again,Van Herpen,52,0,37.0,1081.0,1,2.46
280erC1K7sdT9ngrmIW3Fl,VHS,Eiza Murphy,36,0,20.0,4162.0,1,3.57
3SHZFceclOHREMcgZJERnf,يا قلبي أنا,Anthony Touma,31,0,20.0,3260.0,1,2.85
7AD4wFJjj4o3goO7FHtSW8,Heisenberg,Soolking,54,0,69.0,6204568.0,1,2.51
3Mo4pOC2m12uXZKV3CYVsI,ENCOSTA NA QUEBRADA,Tarja Preta 013,11,1,12.0,80.0,1,2.61
3l2ruzIpduKBz0OOSHl3sS,MAD SCIENTIST,Homeboy Delmar,23,0,13.0,22.0,5,2.51
22fpETmqgcXJL6AhdJh6iV,Pick A Side,4ourty8,46,1,29.0,6670.0,1,2.33
3dIJ5WV6Rog364UqLbBP5R,Something Must Sup,Kaptain Swizzy,28,0,13.0,290.0,1,2.99
2eIMpbGVn6i5PKqoMAiq1T,Still on the go,KEV-Y,27,0,12.0,6.0,1,3.66
4hFt3Ht6b9OLsesqx51aq1,superstar,Artemas,68,1,74.0,1377042.0,3,2.82
